PERID,RESIGNED
10013832,0.151797770435
10012419,0.204808994077
10013831,0.251886063018
10019448,0.225997396969
10013834,0.222500081035
10019333,0.0575263037592
10012412,0.146043834268
10019330,0.0604954675439
10012416,0.19343064365
10012415,0.251561409144
10012414,0.112199305008
10018135,0.0423491453448
10011698,0.253142293786
10011699,0.197771112249
10006878,0.198990548895
10006879,0.192075689363
10022331,0.0562228972009
10006871,0.206173003043
10006873,0.183685511448
10006874,0.273467290324
10006876,0.0522053661345
10022627,0.20157112686
10019445,0.20540236118
10022625,0.0817614518297
10020169,0.0481003717621
10022623,0.0595789993564
10022622,0.0842746651852
10022621,0.0413712349638
10019444,0.02925055198
10017630,0.273063013205
10017433,0.119895338189
10017632,0.165934353061
10011920,0.094830747121
10019440,0.287196075347
10002280,0.169132482607
10019443,0.166724775006
10014406,0.181535796519
10017245,0.131727728305
10011927,0.214120378678
10014856,0.238435909866
10002284,0.199685292647
10014850,0.219441598492
10005834,0.220658401584
10005837,0.826150771219
10005292,0.206350997842
10005295,0.129790516658
10005294,0.73752696579
10005296,0.117336870049
10005298,0.0398273405633
10005528,0.185861362763
10003968,0.161942019089
10003961,0.176264725663
10003960,0.0801017245104
10018314,0.0427715253973
10003962,0.111127174748
10003965,0.0771114343319
10003964,0.0992578160172
10003967,0.201607585581
10010123,0.0765538675249
10010127,0.269626924391
10010129,0.168419183674
10005749,0.101363512185
10011997,0.269935275888
10011994,0.161853219861
10011993,0.188338673806
10011990,0.0845058677219
10010028,0.085860766511
10010024,0.0532881918181
10010025,0.235957196426
10010021,0.202603410524
10020273,0.182294357696
10020271,0.0246128003274
10020904,0.0822644300801
10020908,0.207267228282
10020909,0.0510864277438
10020278,0.205992800041
10003296,0.165281080606
10003295,0.319218001943
10003294,0.148091032774
10003291,0.131702292968
10003290,0.0613700765119
10017699,0.14862065945
10003298,0.168545990557
10007609,0.153085177561
10000924,0.0991769259589
10000925,0.179978074965
10007600,0.245129888248
10000921,0.146563073091
10007603,0.18272896776
10002218,0.277851568371
10022624,0.0853441648943
10002211,0.209464438132
10002214,0.180462498116
10002217,0.0477672977202
10009730,0.139187591426
10006518,0.0908684757271
10009736,0.162058567996
10009737,0.18430774677
10009734,0.0694184364574
10003033,0.111727645284
10003744,0.166619080537
10003747,0.0999193690779
10003741,0.103839579925
10006516,0.142719819076
10003034,0.195953340784
10013227,0.227532156181
10021144,0.0536571027428
10013222,0.137767041496
10013221,0.139684147196
10014258,0.217087362016
10014928,0.21954592637
10014925,0.0977751265198
10014251,0.161957486933
10014257,0.187472437722
10014256,0.209787990196
10004336,0.0952382029523
10013596,0.188939940446
10013593,0.15327463526
10013592,0.0652582629581
10013598,0.183257368991
10001527,0.148726288602
10001525,0.116329209228
10001524,0.0924403583469
10001522,0.0793104563693
10001521,0.337668048119
10000219,0.0277444451384
10000216,0.352510126203
10000217,0.073095528675
10000214,0.0457488875588
10022439,0.205992800041
10000212,0.0954106864473
10000211,0.127064310863
10008021,0.856623435904
10008022,0.125539400836
10008025,0.227310667207
10008027,0.110723633449
10008026,0.19048475389
10008029,0.293129273613
10008028,0.266553632736
10001295,0.249887898461
10012171,0.56739679848
10012172,0.199437652082
10012173,0.077226078621
10001290,0.316850592362
10012178,0.313342043361
10012179,0.0825269551824
10004332,0.179140483066
10008128,0.118087490663
10008129,0.123610162514
10008120,0.871851310387
10019835,0.0286082970034
10012316,0.209503090136
10012317,0.137762042156
10012310,0.161540660182
10012311,0.221968792893
10012312,0.200145076066
10012313,0.144799815937
10019839,0.0627983860961
10022298,0.0840236931135
10015330,0.200099737937
10022296,0.0933689783242
10022297,0.212621614711
10022292,0.287546417192
10022293,0.163588660596
10022290,0.0399920556142
10003886,0.0585703562598
10005196,0.0849065244135
10021522,0.231279113173
10021524,0.224171065263
10021527,0.102325906661
10021528,0.0741236965283
10005991,0.182608462482
